ID,Name,IP,Port,Address,Function,Register,Count,Encoding,BigEndian,Scale,Units,AutoUpdate
OculusGrid,Grid Elec,10.232.48.4,502,8,3,147,2,f,FALSE,1,KW,FALSE
OculusPV,Solar PV,10.232.48.4,502,2,3,147,2,f,FALSE,-1,KW,FALSE
MCSPV,Pulse Meter,10.232.48.73,502,101,3,4,2,i,TRUE,0.1,KWh,TRUE
CEC1,CEC 1,10.232.253.240,502,100,3,0,2,i,TRUE,1,KWh,TRUE
CEC2,CEC 2,10.232.253.240,502,100,3,4,2,i,TRUE,1,KWh,TRUE
EEC,EEC,10.232.90.231,502,7,3,52,2,i,FALSE,1,KWh,TRUE
MEC1,MEC 1,10.232.42.249,502,103,3,0,2,i,TRUE,1,KWh,TRUE
MEC2,MEC 2,10.232.42.249,502,103,3,2,2,i,TRUE,1,KWh,TRUE
MEC3,MEC 3,10.232.42.249,502,103,3,4,2,i,TRUE,1,KWh,TRUE
SBR1-1,Flat 1,10.232.253.226,502,12,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-2,Flat 2,10.232.253.226,502,2,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-3,Flat 3,10.232.253.226,502,14,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-4,Flat 4,10.232.253.226,502,6,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-5,Flat 5,10.232.253.226,502,9,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-6,Flat 6,10.232.253.226,502,7,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-7,Flat 7,10.232.253.226,502,11,3,1005,2,f,TRUE,1,KW,FALSE
SBR1-8,Flat 8,10.232.253.226,502,8,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-10,Flat 10,10.232.253.244,502,5,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-11,Flat 11,10.232.253.244,502,6,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-12,Flat 12,10.232.253.244,502,8,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-13,Flat 13,10.232.253.244,502,7,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-14,Flat 14,10.232.253.244,502,9,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-15,Flat 15,10.232.253.244,502,12,3,1005,2,f,TRUE,1,KW,FALSE
SBR2-16,Flat 16,10.232.253.244,502,10,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-17,Flat 17,10.232.253.227,502,1,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-18,Flat 18,10.232.253.227,502,6,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-19,Flat 19,10.232.253.227,502,7,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-20,Flat 20,10.232.253.227,502,9,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-21,Flat 21,10.232.253.227,502,8,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-22,Flat 22,10.232.253.227,502,10,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-23,Flat 23,10.232.253.227,502,11,3,1005,2,f,TRUE,1,KW,FALSE
SBR3-24,Flat 24,10.232.253.227,502,13,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-26,Flat 26,10.232.253.250,502,6,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-27,Flat 27,10.232.253.250,502,9,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-28,Flat 28,10.232.253.250,502,7,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-29,Flat 29,10.232.253.250,502,10,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-30,Flat 30,10.232.253.250,502,8,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-31,Flat 31,10.232.253.250,502,11,3,1005,2,f,TRUE,1,KW,FALSE
SBR4-32,Flat 32,10.232.253.250,502,13,3,1005,2,f,TRUE,1,KW,FALSE
